iter	RMSE
236	7.78814598
237	7.776417311
238	7.764151128
239	7.758834703
240	7.750761694
241	7.738430137
242	7.729994721
243	7.726972818
244	7.719043983
245	7.711347815
246	7.700646165
247	7.689993211
248	7.682996518
249	7.676140949
250	7.671989377
251	7.660840636
252	7.65381553
253	7.648877377
254	7.642501153
255	7.632777915
256	7.624137138
257	7.612161956
258	7.607062111
259	7.602211978
260	7.591473923
261	7.57758087
262	7.570010515
263	7.563277386
264	7.547798348
265	7.539436382
266	7.532831441
267	7.519380971
268	7.508653062
269	7.500918281
270	7.492247108
271	7.479165907
272	7.474899988
273	7.457228634
274	7.454720755
275	7.448381706
276	7.440567569
277	7.436332717
278	7.429794422
279	7.427292573
280	7.4188299
281	7.413495476
282	7.408063456
283	7.396058309
284	7.384559187
285	7.378680903
286	7.37087206
287	7.364158652
288	7.355470731
289	7.349195222
290	7.340845521
291	7.330586007
292	7.321777785
293	7.311649512
294	7.304510222
295	7.296996397
296	7.29056083
297	7.285867268
298	7.279193119
299	7.273718219
300	7.267373202
301	7.263976482
302	7.255787815
303	7.245813644
304	7.240931267
305	7.234834941
306	7.225372361
307	7.222601215
308	7.216374046
309	7.209617594
310	7.204636315
311	7.198382198
312	7.193362045
313	7.185925173
314	7.177637769
315	7.170755012
316	7.164666477
317	7.155968604
318	7.144455088
319	7.139027575
320	7.132255005
321	7.127239446
322	7.115526013
323	7.110115845
324	7.101047616
325	7.096125518
326	7.09161923
327	7.082603581
328	7.07315013
329	7.068846187
330	7.06167719
331	7.054093343
332	7.048084
333	7.041459844
334	7.030073289
335	7.025896351
336	7.019795701
337	7.013482683
338	7.007732407
339	6.991237944
340	6.985471129
341	6.980086103
342	6.971631403
343	6.966934716
344	6.960884663
345	6.955643348
346	6.953285323
347	6.945828822
348	6.940146757
349	6.932588157
350	6.925406318
351	6.916296701
352	6.913791026
353	6.909593844
354	6.907088696
355	6.89828485
356	6.894706791
357	6.88653166
358	6.884502403
359	6.874850398
360	6.869311713
361	6.856510769
362	6.849708777
363	6.845849835
364	6.841053895
365	6.836906774
366	6.835358686
367	6.830083944
368	6.819796667
369	6.814019665
370	6.807059758
371	6.799821058
372	6.791145683
373	6.786162461
374	6.781641212
375	6.774549771
376	6.767897183
377	6.761030281
378	6.752617778
379	6.74434568
380	6.737094927
381	6.734483991
382	6.727209418
383	6.72404348
384	6.720421938
385	6.713883327
386	6.705890449
387	6.701800587
388	6.694464645
389	6.685474104
390	6.678911568
391	6.671822316
392	6.664935866
393	6.657067181
394	6.652368816
395	6.642326823
396	6.636279774
397	6.631956569
398	6.628748918
399	6.622873729
400	6.619701734
401	6.616905334
402	6.610763611
403	6.605179607
404	6.598970458
405	6.59647982
406	6.59059496
407	6.580346903
408	6.570905158
409	6.567054384
410	6.561089315
411	6.557152287
412	6.554498204
413	6.550190419
414	6.544941336
415	6.540230625
416	6.531895452
417	6.528450985
418	6.521907223
419	6.516204867
420	6.511725283
421	6.505682876
422	6.499274993
423	6.493080025
424	6.487574856
425	6.484561543
426	6.478798822
427	6.476266105
428	6.470629262
429	6.464523963
430	6.459308885
431	6.45111955
432	6.448897062
433	6.441629666
434	6.435511537
435	6.429374546
436	6.424349301
437	6.417435694
438	6.409122176
439	6.40436588
440	6.398051598
441	6.391624704
442	6.385767158
443	6.378759116
444	6.375608561
445	6.367499157
446	6.356703031
447	6.351053691
448	6.348976179
449	6.340369869
450	6.336958546
451	6.330722744
452	6.329199012
453	6.321591295
454	6.316386644
455	6.309402041
456	6.300804775
457	6.295256733
458	6.2917869
459	6.286932929
460	6.283520641
461	6.277951235
462	6.272349031
463	6.266217444
464	6.259985018
465	6.250921497
466	6.247170162
467	6.23949346
468	6.232473436
469	6.223168148
470	6.216628159
471	6.21127992
472	6.207713175
473	6.205289691
474	6.201371219
475	6.19776682
476	6.190407933
477	6.187042156
478	6.180163343
479	6.174877995
480	6.17029689
481	6.165207917
482	6.162742582
483	6.153807152
484	6.149855146
485	6.142542171
486	6.13731466
487	6.129787008
488	6.122472489
489	6.121434647
490	6.115609372
491	6.112433053
492	6.106269603
493	6.102531585
494	6.098050248
495	6.092094981
496	6.080785728
497	6.072858567
498	6.069730276
499	6.066897006
500	6.062412714
501	6.056119513
502	6.053446912
503	6.047201357
504	6.044537379
505	6.042160483
506	6.037264025
507	6.028615378
508	6.022091744
509	6.013476281
510	6.006790696
511	6.000047082
512	5.994702791
513	5.988112308
514	5.982173009
515	5.974232775
516	5.970017398
517	5.966688259
518	5.957685002
519	5.950019554
520	5.946496014
521	5.940586051
522	5.936998543
523	5.929580667
524	5.927773193
525	5.923343667
526	5.917011983
527	5.91165158
528	5.909201566
529	5.906159925
530	5.899659737
531	5.896933761
532	5.894834513
533	5.889820212
534	5.885707328
535	5.883372944
536	5.879805951
537	5.874150667
538	5.867442897
539	5.863008503
540	5.860598735
541	5.856555829
542	5.852002602
543	5.846495305
544	5.844836498
545	5.841773477
546	5.838731357
547	5.833459237
548	5.828120997
549	5.82036169
550	5.813805813
551	5.809884474
552	5.805220585
553	5.800091083
554	5.794206451
555	5.786809364
556	5.783958956
557	5.7793875
558	5.777515022
559	5.773700159
560	5.767489807
561	5.765086558
562	5.759357674
563	5.756059218
564	5.748621242
565	5.747645774
566	5.743442935
567	5.739577453
568	5.736790603
569	5.731411249
570	5.729114534
571	5.723130011
572	5.717798819
573	5.713646989
574	5.707870863
575	5.700419704
576	5.695805469
577	5.687552739
578	5.682935722
579	5.679325766
580	5.673581589
581	5.665962851
582	5.661719111
583	5.65946943
584	5.655736003
585	5.649587314
586	5.646449123
587	5.64267304
588	5.638891429
589	5.632247644
590	5.630955538
591	5.63011383
592	5.62530601
593	5.622667658
594	5.617348633
595	5.612059045
596	5.608508699
597	5.602753832
598	5.600084073
599	5.593879472
600	5.585857497
601	5.582690065
602	5.573445721
603	5.572427018
604	5.568630937
605	5.565910876
606	5.557934492
607	5.554630164
608	5.551001824
609	5.547586426
610	5.540337354
611	5.537385832
612	5.533402083
613	5.530245248
614	5.529032896
615	5.5230136
616	5.519537509
617	5.515459422
618	5.510762447
619	5.506869666
620	5.500678066
621	5.499167674
622	5.49621114
623	5.491346471
624	5.48896801
625	5.484960208
626	5.48279807
627	5.475028089
628	5.469017993
629	5.46793173
630	5.464463268
631	5.45801622
632	5.453047378
633	5.448904994
634	5.447468697
635	5.444277227
636	5.441235836
637	5.437912811
638	5.437239881
639	5.436613422
640	5.432488876
641	5.430568256
642	5.423920738
643	5.421413318
644	5.420387043
645	5.41477439
646	5.407999717
647	5.404072481
648	5.399403837
649	5.394553209
650	5.388827675
651	5.386313454
652	5.383153127
653	5.379903239
654	5.375366723
655	5.372716216
656	5.369850803
657	5.369297943
658	5.363976112
659	5.360565647
660	5.357603009
661	5.354324575
662	5.349779953
663	5.346719448
664	5.341423902
665	5.337445738
666	5.335965835
667	5.331950163
668	5.329756984
669	5.325521844
670	5.322147855
671	5.3190711
672	5.317799831
673	5.315009447
674	5.31055046
675	5.307528036
676	5.301087586
677	5.299176032
678	5.294937706
679	5.29197585
680	5.28981219
681	5.285891333
682	5.280384102
683	5.275866769
684	5.270645647
685	5.263804377
686	5.258765968
687	5.25381047
688	5.252217375
689	5.25012892
690	5.245647554
691	5.240401054
692	5.238722684
693	5.23677479
694	5.233204402
695	5.226663428
696	5.225928105
697	5.22127752
698	5.219697068
699	5.212355666
700	5.20901752
701	5.206037413
702	5.20388519
703	5.200543107
704	5.193985534
705	5.188413085
706	5.184845726
707	5.181909499
708	5.179054202
709	5.175818591
710	5.17106472
711	5.168732099
712	5.163411324
713	5.161181582
714	5.160489764
715	5.155627475
716	5.150353496
717	5.148154318
718	5.144200776
719	5.140757303
720	5.138345752
721	5.134153445
722	5.130531178
723	5.123128841
724	5.1224582
725	5.121765683
726	5.116863862
727	5.112209257
728	5.105935074
729	5.103010343
730	5.099295487
731	5.093509294
732	5.091577055
733	5.089234919
734	5.086054816
735	5.08299679
736	5.081386132
737	5.076259297
738	5.069445275
739	5.066500749
740	5.061517659
741	5.058613899
742	5.056432941
743	5.050535637
744	5.043577296
745	5.037709877
746	5.033974877
747	5.029870848
748	5.024666196
749	5.020532147
750	5.018395791
751	5.012779077
752	5.008699613
753	5.0037552
754	4.998768318
755	4.995188003
756	4.990061918
757	4.984919654
758	4.981656114
759	4.975371354
760	4.970228813
761	4.966703795
762	4.965635596
763	4.960739366
764	4.957386593
765	4.951556322
766	4.948166979
767	4.941564917
768	4.936010353
769	4.933652218
770	4.929519697
771	4.925601982
772	4.920745283
773	4.916510983
774	4.914451797
775	4.910133674
776	4.907910451
777	4.906535975
778	4.903008367
779	4.897111455
780	4.894339249
781	4.888561606
782	4.886426721
783	4.884232516
784	4.881581275
785	4.880493961
786	4.878308209
787	4.87577719
788	4.870848707
789	4.866159647
790	4.864321073
791	4.859633421
792	4.857808938
793	4.854008197
794	4.853491408
795	4.851252342
796	4.847905185
797	4.842738712
798	4.841074606
799	4.836235397
800	4.83386272
801	4.828519678
802	4.826819512
803	4.82349574
804	4.816947875
805	4.81397024
806	4.811417608
807	4.808047793
808	4.80207545
809	4.800796809
810	4.800030856
811	4.797668511
812	4.795337591
813	4.791150616
814	4.787544508
815	4.785479586
816	4.782939652
817	4.780499295
818	4.776107259
819	4.771981161
820	4.768324548
821	4.765543184
822	4.763231113
823	4.760955464
824	4.754640175
825	4.748026774
826	4.74463363
827	4.742801765
828	4.740203894
829	4.737668636
830	4.734942237
831	4.732352968
832	4.727740642
833	4.723798512
834	4.718930199
835	4.714585599
836	4.710767705
837	4.705970248
838	4.705401999
839	4.700944413
840	4.698880859
841	4.696057023
842	4.692278944
843	4.691721884
844	4.690218494
845	4.685698156
846	4.683010279
847	4.678550367
848	4.673732554
849	4.671759519
850	4.667251337
851	4.665812221
852	4.663663264
853	4.661146893
854	4.657228009
855	4.653145287
856	4.651837984
857	4.648144346
858	4.643466602
859	4.640745606
860	4.636104339
861	4.631795213
862	4.626002493
863	4.622435125
864	4.621892182
865	4.617796184
866	4.614121066
867	4.611317807
868	4.607388101
869	4.605255991
870	4.603430178
871	4.599649813
872	4.598338048
873	4.594730754
874	4.593335733
875	4.591566757
876	4.587377913
877	4.583828396
878	4.579166948
879	4.574471195
880	4.573867733
881	4.571038228
882	4.570507535
883	4.564959404
884	4.558271493
885	4.553162967
886	4.549311044
887	4.546164485
888	4.541061438
889	4.537767697
890	4.53539898
891	4.531580098
892	4.525597197
893	4.521094138
894	4.517364597
895	4.51409399
896	4.510060158
897	4.507988251
898	4.505647503
899	4.501420403
900	4.498141152
901	4.493653775
902	4.49310098
903	4.49080726
904	4.486375542
905	4.482525405
906	4.479310987
907	4.47683092
908	4.473947507
909	4.471962699
910	4.468345918
911	4.464709306
912	4.464259164
913	4.463191088
914	4.460499916
915	4.457953756
916	4.45329445
917	4.450656225
918	4.446760904
919	4.442442409
920	4.439157662
921	4.434531975
922	4.431513086
923	4.429311929
924	4.425574326
925	4.42132936
926	4.4191636
927	4.418150878
928	4.41750394
929	4.416134589
930	4.414849525
931	4.413059333
932	4.40930403
933	4.40680869
934	4.402702329
935	4.39976188
936	4.395679732
937	4.392198201
938	4.388713083
939	4.3848488
940	4.380251642
941	4.378095822
942	4.374906198
943	4.373278707
944	4.370660691
945	4.370305116
946	4.364982089
947	4.360646869
948	4.358012239
949	4.356472388
950	4.353739541
951	4.349213734
952	4.347230427
953	4.342947063
954	4.342262826
955	4.33923444
956	4.335454787
957	4.333631353
958	4.331182264
959	4.329126018
960	4.327416369
961	4.324748966
962	4.321249202
963	4.317012205
964	4.312868722
965	4.309400063
966	4.306319538
967	4.305157725
968	4.304662674
969	4.302352286
970	4.30138331
971	4.29875361
972	4.29542645
973	4.293785027
974	4.292589512
975	4.28924412
976	4.285794933
977	4.283396079
978	4.280354483
979	4.277892372
980	4.274740367
981	4.270357734
982	4.267039505
983	4.266361822
984	4.264024345
985	4.263207419
986	4.260244027
987	4.255511898
988	4.253283492
989	4.252820129
990	4.249275561
991	4.2471587
992	4.245013045
993	4.241256178
994	4.238454367
995	4.237804402
996	4.235253568
997	4.233356822
998	4.231347768
999	4.228639045
